9d09e145c6b5d33,REX/ai/skullbreaker/electric_body_loop
92e80d417f6acda,REX/ai/skullbreaker/spawn_fall_trail
513a24d76db55a8,REX/ai/skullbreaker/special_rock_impact
d9e84d79b315bec,_NSZ/Kino_Tele/kino_swirl
8fb74cf45d28bf9,_copforthat/_zm_prison/fx_alcatraz_cerberus_portal_hell_close
d33d953be2ba3d1,_copforthat/_zm_prison/fx_alcatraz_cerberus_portal_hell_loop
9fcc4caba123c81,_copforthat/_zm_prison/fx_alcatraz_cerberus_soul_charge_start
873d0f71de574f6,_custom_v/engineer/teleporter_beam_down
ac57ce73fb53e3a,_custom_v/engineer/teleporter_beam_down_red
69f13fe606e462d,_custom_v/engineer/teleporter_particles
9735bf4c187757d,_custom_v/engineer/teleporter_particles_red
e66bfe251e8a38e,_custom_v/engineer/teleporter_ring_in
7999911ef86520b,_custom_v/engineer/teleporter_ring_in_big
3d63a123f6b7a62,_custom_v/engineer/teleporter_ring_in_red
f26a39123d8d7af,_custom_v/engineer/teleporter_ring_out
5691776ff012147,_custom_v/engineer/teleporter_ring_out_red
832842850738024,_custom_v/engineer/teleporter_ring_ready
14579d7304e6895,_custom_v/engineer/teleporter_ring_ready_big
926d8de4679c591,_custom_v/medi_gun/medi_gun_curl
3f1ed0aa9e800c1,_custom_v/medi_gun/medi_gun_sparks
6c4e956bb93a1b6,_debug/fx_glow_shadow_debug_blue
644fa5fd144d2d2,_debug/fx_missing_fx
5e1923439b6d988,_debug/fx_test_smoke_trail
ec84725a7995be8,_donut/aod/fx_woodchipper_suck
63d6eaa93b96b03,_donut/figgle
ce3dcc2b1055b7c,_donut/hl/fx_muz_hl_pistol_1p
ceae8c2b10b8e8e,_donut/hl/fx_muz_hl_pistol_3p
3baadc7704326e8,_donut/hl/fx_shellejects_hl_pistol
a352ce15ba6b951,_donut/hl/fx_shellejects_hl_pistol_resting
c3e7d2a2cf863f0,_donut/portal/blue_beam
ed4410156eb7a34,_donut/portal/blue_orb
5f58dc8ec15686e,_donut/portal/orange_beam
628a949575bb796,_donut/portal/orange_orb
38f5f15ddf22d8c,_donut/portal/portal_gun_flash
e5af681af2f4e8a,_donut/portal/portal_gun_pickup
1bacd07b87b01bc,_donut/portal/portal_gun_pickup_orb
21bf6f2fa324638,_donut/portal/portal_gun_spark_blue
1e826bbf63da2e,_donut/portal/portal_gun_spark_orange
e2918364a9ef04a,_donut/portal/portal_gun_trail
d01e096932103db,_donut/portal/portal_gun_trail_blue
76615e9a78fe3f5,_donut/portal/portal_gun_trail_orange
36e352c0193702e,_logical_fx/legostuds/stud_trail_diamond
bf5ab3b114b910c,_logical_fx/legostuds/stud_trail_gold
dd1edf179bdf51b,_logical_fx/legostuds/stud_trail_silver
9fa951abf87dd77,_mikeyray/perks/phd/fx_perk_phd
ef382b46e552e5b,_mori2/t8_powerup_pre_drop
60aa8709b5c9463,_mori2/t8_powerup_pre_drop_pop
87ad21d00222d9b,_mori2/t8_powerup_pre_drop_pop_solo
636437458a8b803,_mori2/t8_powerup_pre_drop_solo
3c95d219a6058f5,_owens_effects/t9_semiauto_cosplay/fx_bul_impact_energy_shotgun
7393fd88e0e155d,_owens_effects/t9_semiauto_cosplay/fx_bul_impact_energy_shotgun_entity
3cb1bf05f275002,_owens_effects/t9_semiauto_cosplay/fx_bul_impact_energy_shotgun_ug
33fdb38a1ef8f3,_owens_effects/t9_semiauto_cosplay/fx_bul_impact_energy_shotgun_ug_uw
3a068d56162155b,_owens_effects/t9_semiauto_cosplay/fx_muz_energy_shotgun_1p
1b65ffc63c2f0f4,_owens_effects/t9_semiauto_cosplay/fx_muz_energy_shotgun_1p_ug
3995cd5615be249,_owens_effects/t9_semiauto_cosplay/fx_muz_energy_shotgun_3p
c50f928bb3e9b6,_owens_effects/t9_semiauto_cosplay/fx_muz_energy_shotgun_3p_ug
53ef6bfe1b789eb,_owens_effects/t9_semiauto_cosplay/fx_raygun_geotrail_blue_doa
1f7b25bbd08ac50,_owens_effects/t9_semiauto_cosplay/fx_raygun_geotrail_red_doa
69314dd26b78711,_robit/weapon/muz/lg/3p/fxr_muz_lg_2star_3p
bf8cd97119c8277,_robit/weapon/muz/lg/3p/fxr_muz_lg_2star_3p_pap
1740de0ca482191,_robit/weapon/muz/lg/3p/fxr_muz_lg_2star_break_3p
84ac99be47a04f7,_robit/weapon/muz/lg/3p/fxr_muz_lg_2star_break_3p_pap
c273ba32d9b60e6,_robit/weapon/muz/lg/3p/fxr_muz_lg_3p
b1c2c5b31e8df60,_robit/weapon/muz/lg/3p/fxr_muz_lg_3p_pap
833f0393d75e78b,_robit/weapon/muz/lg/3p/fxr_muz_lg_4star_3p
fd60378ebcb4d3d,_robit/weapon/muz/lg/3p/fxr_muz_lg_4star_3p_pap
edc96bd1254f74b,_robit/weapon/muz/lg/3p/fxr_muz_lg_4star_break_3p
5b99fc380242cfd,_robit/weapon/muz/lg/3p/fxr_muz_lg_4star_break_3p_pap
7892bc7a36e03c0,_robit/weapon/muz/lg/3p/fxr_muz_lg_buckshot_3p
342de0f72758bc6,_robit/weapon/muz/lg/3p/fxr_muz_lg_buckshot_3p_pap
5824ca04a770512,_robit/weapon/muz/lg/3p/fxr_muz_lg_buckshot_cl_3p
89644ca060d5d4,_robit/weapon/muz/lg/3p/fxr_muz_lg_buckshot_cl_3p_pap
67a6467009ef2f5,_robit/weapon/muz/lg/3p/fxr_muz_lg_buckshot_gas_flash_3p
1457c88824d1433,_robit/weapon/muz/lg/3p/fxr_muz_lg_buckshot_gas_flash_3p_pap
b0353e893368d6c,_robit/weapon/muz/lg/3p/fxr_muz_lg_cl_3p
ace82abaff27fa,_robit/weapon/muz/lg/3p/fxr_muz_lg_cl_3p_pap
8581051233cb873,_robit/weapon/muz/lg/3p/fxr_muz_lg_gas_flash_3p
219fca626e785d5,_robit/weapon/muz/lg/3p/fxr_muz_lg_gas_flash_3p_pap
b863bf83e585cf2,_robit/weapon/muz/lg/fxr_muz_lg_1p
3f278375b54f174,_robit/weapon/muz/lg/fxr_muz_lg_1p_pap
c86ea4b0c0bdc29,_robit/weapon/muz/lg/fxr_muz_lg_2star_1p
c5f3d90f6eae85f,_robit/weapon/muz/lg/fxr_muz_lg_2star_1p_pap
52269c1c1bbdba9,_robit/weapon/muz/lg/fxr_muz_lg_2star_break_1p
2d4568004bc9fdf,_robit/weapon/muz/lg/fxr_muz_lg_2star_break_1p_pap
ef08b6b3ccd1d73,_robit/weapon/muz/lg/fxr_muz_lg_4star_1p
c3bd60794dcbad5,_robit/weapon/muz/lg/fxr_muz_lg_4star_1p_pap
390748335872933,_robit/weapon/muz/lg/fxr_muz_lg_4star_break_1p
c7cd7e895ecbb95,_robit/weapon/muz/lg/fxr_muz_lg_4star_break_1p_pap
